CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Wati Putra,69,belum menikah,110527,perempuan,4,4,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Cahyadi Haryanto,63,sudah menikah,125609,laki-laki,0,5,S1,skilled manual work,memiliki rumah sendiri,0
Maya Pratama,22,belum menikah,43943,laki-laki,0,2,S3,professional,tidak memiliki rumah sendiri,2
Zainab Hakim,69,sudah menikah,85893,perempuan,3,0,S2,clerical work,memiliki rumah sendiri,2
Wati Pratama,44,belum menikah,43524,perempuan,4,4,SMA,clerical work,tidak memiliki rumah sendiri,0
Lina Fauzan,24,sudah menikah,24980,laki-laki,1,4,S3,sales,memiliki rumah sendiri,0
Maya Rachman,68,sudah menikah,111260,laki-laki,5,0,S3,skilled manual work,tidak memiliki rumah sendiri,1
Siti Muliawan,63,belum menikah,44985,perempuan,5,0,Post-graduate,sales,memiliki rumah sendiri,0
Zainab Anggraini,33,sudah menikah,46491,perempuan,4,1,Post-graduate,professional,memiliki rumah sendiri,2
Fitri Santoso,57,belum menikah,55478,perempuan,3,2,S2,sales,memiliki rumah sendiri,0
Cahyadi Haryanto,20,sudah menikah,50115,perempuan,2,1,SMA,management,memiliki rumah sendiri,0
Budi Santoso,28,belum menikah,126194,perempuan,0,5,S3,clerical work,memiliki rumah sendiri,0
Wati Anggraini,67,belum menikah,34471,laki-laki,3,0,S1,skilled manual work,memiliki rumah sendiri,3
Joko Purnomo,48,belum menikah,147860,laki-laki,5,2,Post-graduate,clerical work,memiliki rumah sendiri,1
Indra Fauzan,38,belum menikah,66408,perempuan,0,0,SMA,professional,memiliki rumah sendiri,2
Dewi Saputra,62,sudah menikah,136252,laki-laki,2,3,Post-graduate,professional,tidak memiliki rumah sendiri,2
Lina Utomo,42,sudah menikah,26724,laki-laki,4,2,S2,clerical work,memiliki rumah sendiri,1
Eko Santoso,27,sudah menikah,21578,perempuan,3,2,S3,unskilled manual work,memiliki rumah sendiri,3
Maya Setiawan,28,sudah menikah,27239,laki-laki,4,3,S3,skilled manual work,memiliki rumah sendiri,2
Rizki Fauzan,69,sudah menikah,131249,laki-laki,1,2,S3,unskilled manual work,memiliki rumah sendiri,0
